fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.96861,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.96829,0.00988,0.00834,0.98,0.00045,3.0,0.8,7.13349,0.62111,1.52021,0.01583,0.9,0.4,0.0,0.1,0.58614,0.0,0.0,0.0,0.45443,0.0,1.0,0.0,0.0,0.0,10
0.96956,0.01,0.01,0.98,0.00049,3.0,0.8,8.18317,0.5,1.16276,0.015,0.7,0.43811,0.0,0.08053,0.47965,0.0,0.0,0.0,0.5,0.0,0.79478,0.0,0.0,0.0,10
0.96672,0.01053,0.01,0.9753,0.00049,3.20258,0.76484,13.84658,0.4812,1.16276,0.015,0.7,0.43811,0.0,0.08053,0.47893,0.0,0.0,0.0,0.5,0.0,0.71078,0.0,0.0,0.0,10
0.96501,0.01,0.01105,0.98,0.0005,3.0,0.8,7.81548,0.5,1.29756,0.015,0.82198,0.55623,0.0,0.09581,0.36769,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.96399,0.00986,0.00898,0.98,0.00054,3.0,0.94967,5.76672,0.58674,1.71672,0.01548,0.74275,0.45301,0.0,0.07816,0.5159,0.0,0.0,0.0,0.48245,0.0,0.91049,0.0,0.0,0.0,10
0.96853,0.0088,0.00934,0.95479,0.00051,3.0365,0.95,10.83434,0.81917,1.23091,0.01525,0.9,0.41143,0.0,0.08455,0.42644,0.0,0.0,0.0,0.50606,0.0,1.0,0.0,0.0,0.0,10
0.96809,0.0154,0.00933,0.98,0.00058,3.06741,0.69468,9.31683,0.57001,1.3256,0.01516,0.69455,0.38851,0.0,0.08937,0.44245,0.0,0.0,0.0,0.56093,0.0,1.0,0.0,0.0,0.0,10
0.96791,0.00887,0.01327,0.96194,0.00043,2.51412,0.81707,7.29922,0.61331,1.39912,0.01522,0.89537,0.38501,0.0,0.08676,0.60846,0.0,0.0,0.0,0.75831,0.0,0.71899,0.0,0.0,0.0,10
0.96638,0.00821,0.00924,0.98,0.00044,2.78176,0.95,13.12643,0.77294,1.86274,0.01572,0.9,0.5489,0.0,0.0855,0.40139,0.0,0.0,0.0,0.49537,0.0,1.0,0.0,0.0,0.0,9
0.96585,0.00992,0.00999,0.96566,0.00045,3.21069,0.94546,8.65079,0.55102,1.33608,0.01616,0.68115,0.38038,0.0,0.08152,0.59287,0.0,0.0,0.0,0.77251,0.0,1.0,0.0,0.0,0.0,10
0.96351,0.01614,0.00568,0.98,0.00046,2.99299,0.80954,5.1817,0.74884,1.13166,0.01494,0.86047,0.4153,0.0,0.09266,0.40911,0.0,0.0,0.0,0.51968,0.0,0.8471,0.0,0.0,0.0,10
0.96975,0.01536,0.00615,0.92212,0.00053,3.04066,0.91618,15.02865,0.64772,1.97623,0.01493,0.89376,0.34383,0.0,0.08065,0.60932,0.0,0.0,0.0,0.52919,0.0,0.80388,0.0,0.0,0.0,10
0.96683,0.00693,0.00826,0.97033,0.00053,3.12955,0.88352,7.66936,0.76682,1.22109,0.01501,0.74143,0.40894,0.0,0.05537,0.47661,0.0,0.0,0.0,0.68634,0.0,0.99366,0.0,0.0,0.0,10
0.97008,0.01452,0.0045,0.94439,0.00051,3.04945,0.73291,5.86811,0.55677,1.45429,0.01532,0.85133,0.3977,0.0,0.08032,0.59468,0.0,0.0,0.0,0.62464,0.0,0.98922,0.0,0.0,0.0,7
0.97056,0.01367,0.00718,0.92376,0.00072,3.25361,0.76668,16.08325,0.66228,1.32421,0.00878,0.9,0.39828,0.0,0.08966,0.46489,0.0,0.0,0.0,0.52488,0.0,0.78238,0.0,0.0,0.0,7
0.96776,0.01543,0.01031,0.95792,0.00065,3.08807,0.67837,10.37007,0.71526,1.50968,0.01203,0.70966,0.35704,0.0,0.06464,0.47513,0.0,0.0,0.0,0.50865,0.0,0.7929,0.0,0.0,0.0,8
0.96734,0.01319,0.01147,0.96685,0.00074,2.21689,0.91765,14.98134,0.5969,1.28624,0.01206,0.76483,0.35414,0.0,0.0915,0.55537,0.0,0.0,0.0,0.52268,0.0,0.77431,0.0,0.0,0.0,7
0.96726,0.01261,0.01247,0.92628,0.00068,3.05916,0.95,9.70095,0.50934,1.40738,0.01136,0.73326,0.3314,0.0,0.08883,0.49324,0.0,0.0,0.0,0.70799,0.0,0.74876,0.0,0.0,0.0,10
0.96814,0.01479,0.00954,0.94406,0.00068,3.20255,0.73547,11.92148,0.48049,2.08769,0.01162,0.9,0.49905,0.0,0.08907,0.6138,0.0,0.0,0.0,0.48495,0.0,0.81654,0.0,0.0,0.0,7
0.96406,0.01152,0.00662,0.98,0.00048,3.20074,0.82881,8.35039,0.66637,1.41687,0.01599,0.78952,0.41352,0.0,0.08314,0.45736,0.0,0.0,0.0,0.5942,0.0,0.95862,0.0,0.0,0.0,9
0.88408,0.01447,0.0103,0.96264,0.0006,2.6779,0.81685,8.00825,0.83521,1.42501,0.00631,0.63122,0.29176,0.0,0.08296,0.58382,0.0,0.0,0.0,0.48709,0.0,0.93147,0.0,0.0,0.0,10
0.88748,0.01266,0.00515,0.94952,0.00044,4.09942,0.95,14.98343,0.6416,1.38654,0.0074,0.69976,0.41149,0.0,0.09758,0.66887,0.0,0.0,0.0,0.5861,0.0,0.93456,0.0,0.0,0.0,7
